Database Identifier,Institution,Mother Institution,State,Priority (1-4),"Type (Any Teaching 1, Pure Research 2, Government 3)",Divisions (Official Names separated by commas),"Private 1, Public 0, Mix 2, Unknown 3",COI,Year Founded,Students,Endowment (Millions),Operating Budget (Millions),Policy Different Between Schools? (Yes 1/No 0/Unknown 2),Link to the Policy?,Umbrella Policy
284,1,,IL,,,1,1,0,1853,,,,,,
2045,    *  National Cancer Institute (NCI),NIH,,1,2,,,1,,,,,,http://carra.cancer.gov/members/ethics/confidentiality,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2166,    * Advanced Highway Maintenance Construction Technology Research Laboratory,University of California Davis,CA,,"2,3",,0,0,,,,,,,
2167,    * Advanced Technology Group,defunct,,,,,,,,,,,,,
2168,    * Alfred E. Mann Institute for Biomedical Engineering,University of Southern California,CA,,2,,1,0,1998,,,,,,
2169,    * Alternative Energy Institute,West Texas A&M University,TX,,"2,3",,0,0,1977,,,,,,
2170,    * American Competitiveness Institute,,PA,,2,,1,0,1992,,,,,,
2171,    * American Institute of Mathematics,,CA,,2,,1,2,1994,,,,,,
2172,    * Amerind Foundation,,AZ,,2,,1,0,1937,,,,,,
2173,    * Annis Water Resources Institute,Grand Valley State University,MI,,"2,3",,0,0,,,,,,,
2174,    * Archbold Biological Station,,FL,,2,,1,0,1941,,,,,,
2175,    * Array Operations Center,National Radio Astronomy Observatory,NM,,2,,0,0,,,,,,,
2176,    * Athinoula A. Martinos Center for Biomedical Imaging,MIT,MA,,2,,1,2,1999,,,,,,
2181,    * Berkeley APEC Study Center,"University of California, Berkeley",CA,,"2,3",,0,0,1996,,,,,,
2182,    * Berkeley-Illinois-Maryland Association,Defunct,,,,,,,,,,,,,
2183,    * Bettis Atomic Power Laboratory,,PA,,"2,3",,0,0,1949,,,,,,
2184,    * Biodesign Institute,Arizona State University,AZ,,"2,3",,0,2,,,,,,,
2186,    * Border Intermodal Gateway Transportation Laboratory,"University of Texas, El Paso",TX,,2.3,,1,0,2006,,,,,,
2187,    * Broad Institute,,MA,,2,,1,2,2004,,,,,,
2188,    * California Center for Innovative Transportation,"University of California, Berkeley",CA,,"2,3",,0,0,2001,,,,,,
2189,    * California Institute for Regenerative Medicine,,CA,,2,,1,1,2004,,,,,http://www.cirm.ca.gov/grants-administration-policy,
2190,    * California Institute for Telecommunications and Information Technology,"University of California, San Diego and University of California, Irvine",CA,,"2,3",,0,2,,,,,,,
2191,    * California National Primate Research Center,"University of California, Davis",CA,,"2,3",,0,1,1962,,,,,"www.innovationaccess.ucdavis.edu/home.cfm?id=ovc,3,1155",
2192,    * Cancer and Leukemia Group B,University of Chicago,IL,,2,,1,0,1976,,,,,,
2193,    * Cape May Bird Observatory,,NJ,,"1,2",,1,0,1975,,,,,,
2194,    * Capitol Archaeological Institute,George Washington University,"Washington, D.C.",,"1,2",,1,0,2010,,,,,,
2195,    * Carnegie Building,Rensselaer Polytechnic Institute,NY,,2,,1,2,1906,,,,,,
2196,    * Center for Advanced Biotechnology and Medicine,"UMDNJ-Robert Wood Johnson Medical School and Rutgers, The State University of New Jersey",NJ,,"2,3",,0,,,,,,,,
2197,    * Center for Advanced Study in the Behavioral Sciences,Stanford University,CA,,2,,1,0,1954,,,,,,
2198,    * Center for American Archeology,,IL,,2,,1,0,,,,,,,
2199,    * Center for Applied Genomics,Institute of Genomic Medicine,PA,,2,,1,2,2006,,,,,,
2200,    * Center for Assistive Technology and Environmental Access,Georgia Institute of Technology,GA,,"2,3",,0,0,1980,,,,,,
2201,    * Center for BrainHealth,University of Texas at Dallas,TX,,"2,3",,0,0,1999,,,,,,
2203,    * Center for Complex Systems and Brain Sciences,Charles E. Schmidt College of Science,FL,,2,,1,2,1985,,,,,,
2204,    * Center for Computational Biology,National Centers for Biomedical Computing,CA,,"2,3",,0,0,,,,,,,
2205,    * Center for Computational Chemistry,University of Georgia,GA,,"2,3",,0,0,1987,,,,,,
2206,    * Center for Computational Relativity and Gravitation,Rochester Institute of Technology,NY,,2,,1,0,2007,,,,,,
2207,    * Center for Evolutionary Psychology,"University of California, Santa Barbara",CA,,"2,3",,0,0,,,,,,,
2208,    * Center for Gravitational Wave Astronomy,University of Texas at Brownsville,TX,,"2,3",,0,0,2002,,,,,,
2209,    * Center for Hellenic Studies,Harvard University,"Washington, D.C.",,2,,1,0,1961,,,,,,
2210,    * Center for Integrated Plasma Studies,University of Colorado at Boulder,CO,,"2,3",,0,0,1993,,,,,,
2211,    * Center for International Political Analysis,University of Kansas,KA,,"2,3",,0,0,2000,,,,,,
2212,    * Center for Maritime Archaeology and Conservation (CMAC),Texas A&M,TX,,2,,1,0,2005,,,,,,
2213,    * Center for Microbial Oceanography: Research and Education,,HI,,"2,3",,0,0,2006,,,,,,
2214,    * Center for Mind and Brain,"University of California, Davis",CA,,"2,3",,0,0,2002,,,,,,
2215,    * Center for Nanotechnology in Society,"University of California, Santa Barbara",CA,,"2,3",,0,0,2006,,,,,,
2216,    * Center for Quantum Information Science & Technology,University of Southern California,CA,,2,,1,0,1997,,,,,,
2217,    * Center for Research on Collaboratories and Technology Enhanced Learning Communities,"Syracuse University, American University","NY, Washington, D.C.",,2,,1,0,,,,,,,
2218,    * Center for Responsible Nanotechnology,,,,,,,,,,,,,,
