284,1,,IL,,,1,1,0,1853,,,,,,,,0
2045,    *  National Cancer Institute (NCI),NIH,,1,2,,,1,,,,,,http://carra.cancer.gov/members/ethics/confidentiality,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2166,    * Advanced Highway Maintenance Construction Technology Research Laboratory,University of California Davis,CA,,"2,3",,0,0,,,,,,,,Yolo,6113
2167,    * Advanced Technology Group,defunct,,,,,,,,,,,,,,0,0
2168,    * Alfred E. Mann Institute for Biomedical Engineering,University of Southern California,CA,,2,,1,0,1998,,,,,,,Los Angeles,6037
2169,    * Alternative Energy Institute,West Texas A&M University,TX,,"2,3",,0,0,1977,,,,,,,Randall,48381
2170,    * American Competitiveness Institute,,PA,,2,,1,0,1992,,,,,,,0,0
2171,    * American Institute of Mathematics,,CA,,2,,1,2,1994,,,,,,,0,0
2172,    * Amerind Foundation,,AZ,,2,,1,0,1937,,,,,,,Cochise,4003
2173,    * Annis Water Resources Institute,Grand Valley State University,MI,,"2,3",,0,0,,,,,,,,Ottawa,26139
2174,    * Archbold Biological Station,,FL,,2,,1,0,1941,,,,,,,Highlands,12055
2175,    * Array Operations Center,National Radio Astronomy Observatory,NM,,2,,0,0,,,,,,,,Torrance,35057
2176,    * Athinoula A. Martinos Center for Biomedical Imaging,MIT,MA,,2,,1,2,1999,,,,,,,Middlesex,25017
2181,    * Berkeley APEC Study Center,"University of California, Berkeley",CA,,"2,3",,0,0,1996,,,,,,,Alameda,6001
2182,    * Berkeley-Illinois-Maryland Association,Defunct,,,,,,,,,,,,,,0,0
2183,    * Bettis Atomic Power Laboratory,,PA,,"2,3",,0,0,1949,,,,,,,Schenectady,36093
2184,    * Biodesign Institute,Arizona State University,AZ,,"2,3",,0,2,,,,,,,,Maricopa,4013
2186,    * Border Intermodal Gateway Transportation Laboratory,"University of Texas, El Paso",TX,,2.3,,1,0,2006,,,,,,,El Paso,48141
2187,    * Broad Institute,,MA,,2,,1,2,2004,,,,,,,Middlesex,25017
2188,    * California Center for Innovative Transportation,"University of California, Berkeley",CA,,"2,3",,0,0,2001,,,,,,,Alameda,6001
2189,    * California Institute for Regenerative Medicine,,CA,,2,,1,1,2004,,,,,http://www.cirm.ca.gov/grants-administration-policy,,0,0
2190,    * California Institute for Telecommunications and Information Technology,"University of California, San Diego and University of California, Irvine",CA,,"2,3",,0,2,,,,,,,,Orange,6059
2191,    * California National Primate Research Center,"University of California, Davis",CA,,"2,3",,0,1,1962,,,,,"www.innovationaccess.ucdavis.edu/home.cfm?id=ovc,3,1155",,Yolo,6113
2192,    * Cancer and Leukemia Group B,University of Chicago,IL,,2,,1,0,1976,,,,,,,Cook,17031
2193,    * Cape May Bird Observatory,,NJ,,"1,2",,1,0,1975,,,,,,,Cape May,34009
2194,    * Capitol Archaeological Institute,George Washington University,"Washington, D.C.",,"1,2",,1,0,2010,,,,,,,District of Columbia,11001
2195,    * Carnegie Building,Rensselaer Polytechnic Institute,NY,,2,,1,2,1906,,,,,,,Rensselaer,36083
2196,    * Center for Advanced Biotechnology and Medicine,"UMDNJ-Robert Wood Johnson Medical School and Rutgers, The State University of New Jersey",NJ,,"2,3",,0,,,,,,,,,Middlesex,34023
2197,    * Center for Advanced Study in the Behavioral Sciences,Stanford University,CA,,2,,1,0,1954,,,,,,,Santa Clara,6085
2198,    * Center for American Archeology,,IL,,2,,1,0,,,,,,,,Calhoun,17013
2199,    * Center for Applied Genomics,Institute of Genomic Medicine,PA,,2,,1,2,2006,,,,,,,Lycoming,42081
2200,    * Center for Assistive Technology and Environmental Access,Georgia Institute of Technology,GA,,"2,3",,0,0,1980,,,,,,,Fulton,13121
2201,    * Center for BrainHealth,University of Texas at Dallas,TX,,"2,3",,0,0,1999,,,,,,,Dallas,48113
2203,    * Center for Complex Systems and Brain Sciences,Charles E. Schmidt College of Science,FL,,2,,1,2,1985,,,,,,,Polk,12105
2204,    * Center for Computational Biology,National Centers for Biomedical Computing,CA,,"2,3",,0,0,,,,,,,,Fresno,6019
2205,    * Center for Computational Chemistry,University of Georgia,GA,,"2,3",,0,0,1987,,,,,,,Clarke,13059
2206,    * Center for Computational Relativity and Gravitation,Rochester Institute of Technology,NY,,2,,1,0,2007,,,,,,,Monroe,36055
2207,    * Center for Evolutionary Psychology,"University of California, Santa Barbara",CA,,"2,3",,0,0,,,,,,,,Santa Barbara,6083
2208,    * Center for Gravitational Wave Astronomy,University of Texas at Brownsville,TX,,"2,3",,0,0,2002,,,,,,,Cameron,48061
2209,    * Center for Hellenic Studies,Harvard University,"Washington, D.C.",,2,,1,0,1961,,,,,,,District of Columbia,11001
2210,    * Center for Integrated Plasma Studies,University of Colorado at Boulder,CO,,"2,3",,0,0,1993,,,,,,,Boulder,8013
2211,    * Center for International Political Analysis,University of Kansas,KA,,"2,3",,0,0,2000,,,,,,,0,0
2212,    * Center for Maritime Archaeology and Conservation (CMAC),Texas A&M,TX,,2,,1,0,2005,,,,,,,Brazos,48041
2213,    * Center for Microbial Oceanography: Research and Education,,HI,,"2,3",,0,0,2006,,,,,,,Honolulu,15003
2214,    * Center for Mind and Brain,"University of California, Davis",CA,,"2,3",,0,0,2002,,,,,,,Yolo,6113
2215,    * Center for Nanotechnology in Society,"University of California, Santa Barbara",CA,,"2,3",,0,0,2006,,,,,,,Santa Barbara,6083
2216,    * Center for Quantum Information Science & Technology,University of Southern California,CA,,2,,1,0,1997,,,,,,,Los Angeles,6037
2217,    * Center for Research on Collaboratories and Technology Enhanced Learning Communities,"Syracuse University, American University","NY, Washington, D.C.",,2,,1,0,,,,,,,,Onondaga,36067
2218,    * Center for Responsible Nanotechnology,,,,,,,,,,,,,,,0,0
2219,    * Center for Technology and Systems Management,"University of Maryland, College Park",MD,,"2,3",,0,0,1996,,,,,,,Prince George's,24033
2220,    * Center for the Advancement of Genomics,J. Craig Venter Science Foundation,MD,,2,,1,0,2002,,,,,,,0,0
2221,    * Center for the Treatment and Prevention of Suicide,University of Pennsylvania,PA,,2,,1,0,,,,,,,,Philadelphia,42101
2222,    * Center for Transcultural Studies,,IL,,2,,1,0,1973,,,,,,,,0
2223,    * Center for Urban Policy Research,Rutgers University,NY,,2,,1,0,1969,,,,,,,Suffolk,36103
2224,    * Center on Nanotechnology and Society,Illinois Institute of Technology,IL,,2,,1,2,,,,,,,,Cook,17031
2225,    * Center on Organizational Innovation,Columbia University,NY,,2,,1,0,2000,,,,,,,New York,36061
2226,    * Charles Phelps Taft Research Center,University of Cincinnatti,OH,,"2,3",,0,0,1930,,,,,,,Hamilton,39061
2227,    * Charlotte Research Institute,University of North Carolina at Charlotte,NC,,"2,3",,0,0,1998,,,,,,,Mecklenburg,37119
2228,    * Clark Art Institute,,MA,,,,1,0,1955,,,,,,,Berkshire,25003
2229,    * Clay Mathematics Institute,,MA,,2,,1,0,1998,,,,,,,0,0
2230,    * Cleveland FES Center,"Department of Veteran Affairs, MetroHealth Medical Center, Case Western Reserve University",OH,,2,,1,0,1991,,,,,,,Cuyahoga,39035
2231,    * CNMAT,"University of California, Berkeley",CA,,"2,3",,0,0,1980,,,,,,,Alameda,6001
2232,    * Coastal Waters Laboratory,San Diego State University,CA,,"2,3",,0,0,,,,,,,,San Diego,6073
2253,    * Dana–Farber Cancer Institute,National Cancer Institute,MA,,"2,3",,"1,0",0,1947,,,,,,,Middlesex,25017
2254,    * Dibner Institute for the History of Science and Technology,defunct,,,,,,,,,,,,,,0,0
2255,"    * Division of Global Affairs, Rutgers University – Newark",Rutgers University,NJ,,"2,3",,0,0,1995,,,,,,,Essex,34013
2256,    * Ear Research Foundation,Silverstein Institute,FL,,2,,1,0,1979,,,,,,,Sarasota,12115
2258,    * Eastern Regional Research Center,Agricultural Research Service,PA,,"2,3",,0,0,1938,,,,,,,Lycoming,42081
2259,    * Edwin O. Reischauer Center for East Asian Studies,John Hopkins University,,,,,,,,,,,,,,Baltimore,24510
2260,    * Edwin O. Reischauer Institute of Japanese Studies,Harvard University,MA,,2,,1,0,1973,,,,,,,Middlesex,25017
2261,    * Electric Power Research Institute,,CA,,2,,1,1,,,,,,http://mydocs.epri.com/docs/CorporateDocuments/Governance/BOD-ConflictofInterest.pdf,,,0
2262,    * Electronic Visualization Laboratory,University of Illinois,IL,,2,,1,0,1973,,,,,,,Cook,17031
2263,    * EMDR Institute,,CA,,1,,1,0,1990,,,,,,,0,0
2264,    * Emory Brand Institute,Emory University,GA,,"1,2",,1,0,2004,,,,,,,DeKalb,13089
2265,    * Energy Biosciences Institute,"University of California, Berkeley; Lawrence Berkeley National Laboratory, University of Illinois at Urbana-Champaign",CA,,2,,1,0,2007,,,,,,,Champaign,17019
2266,    * Enrico Fermi Institute,University of Chicago,IL,,2,,1,0,1945,,,,,,,Cook,17031
2267,    * Environmental Research Institute of Michigan,Altarum Institute,MI,,2,,1,0,1972,,,,,,,Wexford,26165
2268,    * Eppley Institute for Research in Cancer and Allied Diseases,University of Nebraska Medical Center,NE,,"2,3",,0,0,1963,,,,,,,Douglas,31055
2054,    * Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH,,1,2,,,,,,,,,http://grants1.nih.gov/grants/policy/coi/index.htm,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2269,    * Eyring Research Institute,,UT,,2,,1,0,1972,,,,,,,0,0
2270,    * Fairbank Center for Chinese Studies,Harvard University,MA,,2,,1,0,1955,,,,,,,Middlesex,25017
2271,    * Florida Environmental Research Institute,,FL,,2,,1,2,1998,,,,,,,Miami-Dade,12086
2272,    * Florida Institute for Human and Machine Cognition,,FL,,2,,1,2,1990,,,,,,,Polk,12105
2273,    * Florida Solar Energy Center,University of Central FLorida,FL,,"2,3",,0,0,1975,,,,,,,Orange,12095
2274,    * Florida Space Research Institute,,FL,,"2,3",,0,2,1999,,,,,,,Brevard,12009
2275,    * Fox Chase Cancer Center,National Cancer Institute,PA,,"2,3",,0,0,1904,,,,,,,Lycoming,42081
2276,    * Franke Institute for the Humanities,University of Chicago,IL,,2,,1,2,1990,,,,,,,Cook,17031
2277,    * Franklin Humanities Institute,Duke University,NC,,2,,1,0,1999,,,,,,,Durham,37063
2278,    * Fred Hutchinson Cancer Research Center,,WA,,2,,1,1,1975,,,,,http://www.fhcrc.org/patient/treatment/patientprotection/ppoc_report_2002.pdf,,0,0
2279,    * Friday Harbor Laboratories,University of Washington,WA,,"2,3",,0,2,1904,,,,,,,King,53033
2280,    * Frontier Organic Research Farm Botanical Garden,,IA,,2,,1,,,,,,,,,0,0
2281,    * Galveston National Laboratory,National Institutes of Health,TX,,"2,3",,0,0,2008,,,,,,,Runnels,48399
2282,    * Gemological Institute of America,,CA,,"1,2",,1,0,1931,,,,,,,New York,36061
2283,    * General Electric EdgeLab,"General Electric, University of Connecticut",CT,,"2,3",,"1,0",0,2000,,,,,,,Tolland,9013
2284,    * Genomics Institute of the Novartis Research Foundation,Novartis Foundation,CA,,2,,1,0,1999,,,,,,,Fresno,6019
2286,    * Georgia Tech Research Institute,Georgia Institute of Technology,GA,,"2,3",,0,2,1934,,,,,,,Fulton,13121
2287,    * Getty Research Institute,Getty Center,CA,,2,,1,0,1985,,,,,,,Los Angeles,6037
2288,    * Glenn Research Center,NASA,OH,,"2,3",,0,1,1942,,,,,http://www.grc.nasa.gov/WWW/Organizations/ChiefCounsel/page2.htm,,Cuyahoga,39035
2289,    * Global Development and Environment Institute,Tufts University,MA,,2,,1,2,1993,,,,,,,Middlesex,25017
2290,    * Global Environment and Trade Study,Defunct,CT,,,,,,,,,,,,,0,0
2291,    * Guggenheim Aeronautical Laboratory,California Institute of Technology,CA,,2,,1,2,1926,,,,,,,Los Angeles,6037
2292,    * Guttmacher Institute,,"NY; Washington, D.C.",,2,,1,0,1977,,,,,,,0,0
2293,    * GVU Center at Georgia Tech,Georgia Institute of Technology,GA,,"2,3",,0,0,1992,,,,,,,Fulton,13121
2046,    * National Eye Institute (NEI),NIH,,1,2,,,,,,,,,http://www.nei.nih.gov/funding/datastudies.asp#6,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2047,"    * National Heart, Lung, and Blood Institute (NHLBI)",NIH,,1,2,,,,,,,,,http://www.nhlbi.nih.gov/funding/policies/coi-res.htm,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2048,    * National Human Genome Research Institute (NHGRI),NIH,,1,2,,,,,,,,,http://www.genome.gov/Pages/Research/Intramural/IRB/COI_GUIDE_MARCH_2008.pdf,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2051,    * National Institute of Allergy and Infectious Diseases (NIAID),NIH,,1,2,,,,,,,,,http://funding.niaid.nih.gov/researchfunding/qa/pages/ethics.aspx,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2052,    * National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,,1,2,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&sqi=2&ved=0CBYQFjAA&url=http%3A%2F%2Fwww.niams.nih.gov%2Ffunding%2Fclinical_research%2Fmoop_guidelines.doc&rct=j&q=NIAMS%20conflict%20of%20interest%20policy&ei=sCzjTdzsAZT2gAeVzaW7Bg&usg=AFQjCNEWtYjRMtCD0rXxzX9I3TQqwlAGlw&sig2=EAKxQOn3PJtmIAkRKro-ow&cad=rja,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2053,    * National Institute of Biomedical Imaging and Bioengineering (NIBIB),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2056,    * National Institute of Dental and Craniofacial Research (NIDCR),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2057,    * National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2059,    * National Institute of Environmental Health Sciences (NIEHS),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,0,0
2060,    * National Institute of General Medical Sciences (NIGMS),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2061,    * National Institute of Mental Health (NIMH),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2063,    * National Institute of Neurological Disorders and Stroke (NINDS),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2064,    * National Institute of Nursing Research (NINR),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2049,    * National Institute on Aging (NIA),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2050,    * National Institute on Alcohol Abuse and Alcoholism (NIAAA),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2055,    * National Institute on Deafness and Other Communication Disorders (NIDCD),NIH,,1,2,,,,,,,,,http://grants1.nih.gov/grants/policy/coi/index.htm,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2058,    * National Institute on Drug Abuse (NIDA),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,Montgomery,24031
2062,    * National Institute on Minority Health and Health Disparities (NIMHD),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,0,0
2065,    * National Library of Medicine (NLM),NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm,0,0
2185,    * The Bonnie J. Addario a Breath Away from the Cure Foundation,,CA,,2,,1,0,2006,,,,,,,0,0
2202,    * The Center for Complex Quantum Systems,University of Texas at Austin,TX,,"2,3",,0,0,1967,,,,,,,Travis,48453
2257,    * The Earth Institute,Columbia University,NY,,2,,1,0,1995,,,,,,,0,0
2285,    * The Geometry Center,Defunct,,,,,,,,,,,,,,0,0
2233,# Cold Spring Harbor Laboratory,,NY,,2,,1,,1890,,,,,,,Nassau,36059
2234,# Columbia Water Center,Columbia University,NY,,,,,,,,,,,,,New York,36061
2235,# Connecticut Agricultural Experiment Station,,CT,,"2,3",,0,1,1875,,,,,http://www.ct.gov/caes/cwp/view.asp?a=2812&q=390910&caesNav=|,,0,0
2236,# Contemporary History Institute,Ohio University,OH,,"2,3",,0,2,1987,,,,,,www.ohio.edu/research/compliance/,0,0
2237,# Controlled Environment Agriculture Center,University of Arizona,AZ,,"2,3",,0,2,,,,,,,,Maricopa,4013
2238,# Cooperative Institute for Arctic Research,"NOAA, University of Alaska",AK,,"2,3",,0,2,2008,,,,,,www.uaf.edu/ori/responsible-conduct/conflict-of-interest/,0,0
2239,# Cooperative Institute for Atmospheric Sciences and Terrestrial Applications,"NOAA, OAR, DRI",,,,,0,,,,,,,,,0,0
2240,# Cooperative Institute for Climate and Ocean Research,,,,,,,,,,,,,,,0,0
2241,# Cooperative Institute for Climate Applications and Research,"NOAA, Columbia University",NY,,"2,3",,"1,0",0,2003,,,,,,,New York,36061
2242,# Cooperative Institute for Climate Science,"NOAA, Princeton University",NJ,,"2,3",,"1,0",0,2003,,,,,,,Middlesex,34023
2243,# Cooperative Institute for Limnology and Ecosystems Research,"NOAA, various Michigan universities",MI,,"2,3",,"1,0",0,1989,,,,,,,Wexford,26165
2244,# Cooperative Institute for Marine and Atmospheric Studies,"University of Miami, NOAA",FL,,"2,3",,"1,0",0,1977,,,,,,,Polk,12105
2245,# Cooperative Institute for Mesoscale Meteorological Studies,"NOAA, University of Oklahoma",OK,,"2,3",,"1,0",0,1978,,,,,,,Cleveland,40027
2246,# Cooperative Institute for Meteorological Satellite Studies,"NOAA, NASA, UW- Madison",WI,,"2,3",,"1,0",0,,,,,,,,Dane,55025
2247,# Cooperative Institute for Research in Environmental Sciences,"NOAA, University of Colorado at Boulder",CO,,"2,3",,"1,0",0,1967,,,,,,,Boulder,8013
2248,# Cooperative Institute for Research in the Atmosphere,"NOAA, Colorado State University",CO,,"2,3",,"1,0",0,1980,,,,,,,Larimer,8069
2249,# Cornell Lab of Ornithology,Cornell University,NY,,2,,1,0,1915,,,,,,,Tompkins,36109
2250,# Cornell Laboratory for Accelerator-based Sciences and Education,Cornell University,NY,,2,,1,0,2006,,,,,,,Tompkins,36109
2251,# Coulston Foundation,defunct,,,,,,,,,,,,,,0,0
2252,# Cowles Foundation,Yale University,CT,,2,,1,0,1932,,,,,,,New Haven,9009
1,A.T. Still University of Health Sciences ,,AZ/MO,,1,,1,0,1892,2000,53.6,,,,,0,0
2,Abilene Christian University ,,TX,,1,,1,1,1906,4728,238.2,,,www.acu.edu/campusoffices/hr/documents/handbook/Policy-Conflict_of_I.pdf,,Taylor,48441
3,Abraham Baldwin Agricultural College ,,GA,,1,,0,1,,,,,,http://www.abac.edu/foundation/Policies/Policies_and_Procedures_Manual.pdf,,Tift,13277
4,Academy of Art University ,,CA,,1,,1,0,1929,17500,,,,,,San Francisco,6075
5,Academy of Oriental Medicine at Austin ,,TX,,1,,1,0,,204,1993,,,,,Travis,48453
6,Adams State College ,,CO,,1,,,1,,,,,,http://www.adams.edu/administration/hr/professional%20handbook%20conflict%20of%20interest%20policies5-04-07.pdf,,Alamosa,8003
7,Adelphi University ,,NY,,,,,1,,,,,,http://administration.adelphi.edu/hr/pdfs/conflict.pdf,,Nassau,36059
8,Adler Graduate School ,,MN,,,,,,,,,,,,,Hennepin,27053
9,Adler School of Professional Psychology ,,IL,,,,,,,,,,,,,Cook,17031
10,Adrian College ,,MI,,,,1,1,,,,,,www.adrian.edu/employeedocs/POLICY-BOOKLET.doc,,Lenawee,26091
2101,Agency for Healthcare Research and Quality ,,,1,2,,,,,,,,,,,0,0
11,Agnes Scott College ,,GA,,,,1,0,,,,,,,,DeKalb,13089
2082,Agricultural Research Service ,,,1,2,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CBsQFjAA&url=http%3A%2F%2Fwww.afm.ars.usda.gov%2Fagreements%2Ffiles%2FSEB-102.pdf&rct=j&q=agricultural%20research%20service%20conflict%20of%20interest&ei=ewvkTev8O4nHgAfHuuXEBg&usg=AFQjCNGAHonDoODHAPvE5pSs49w3lxHmJg&sig2=HKumjziibIx_2HdYZAed9Q&cad=rja,http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&tpl=/ecfrbrowse/Title05/5cfr2635_main_02.tpl,Woodward,40153
770,Aguadilla Campus,,OH,,,,,,,,,,,,,Aguadilla,72005
12,AIB College of Business ,,IA,,,,,,,,,,,,,Polk,19153
13,Air Force Institute of Technology ,,OH,,,Graduate School of Engineering and Management,0,2,,,,,,,,Greene,39057
14,Air University ,,AL,,,,0,2,,,,,,,,,0
15,Alabama A&M University ,,AL,2,,"School of Agriculture and Environmental Sciences, School of Arts and Sciences, School of Business, School of Education, School of Engineering and Technology, and the Graduate School",0,1,1875,5700,30,??,0,http://www.aamu.edu/human_resources/docs/staff_handbook.pdf,,Madison,1089
16,Alabama State University ,,AL,,,,0,2,,,,,,,,Montgomery,1101
17,Alaska Bible College ,,AK,4,,,,,1966,,,,,,,Valdez-Cordova,2261
18,Alaska Pacific University ,,AK,3,,,1,2,,,,,,,,Anchorage,2020
1909,Albany,,NY,,,,,,,,29.5,,,,,Albany,36001
19,Albany College of Pharmacy & Health Sciences ,,NY,,,,,,,,,,,,,Albany,36001
