Percentage,State
30.69,CA
54.0,TX
66.67,PA
40.0,AZ
47.22,MI
34.04,FL
25.0,NM
38.89,MA
41.38,IL
52.94,NJ
0.0,"Washington, D.C."
50.0,NY
48.65,GA
63.64,CO
0.0,KA
0.0,HI
0.0,"NY, Washington, D.C."
52.94,MD
57.5,OH
56.25,NC
40.0,NE
40.0,UT
54.55,WA
61.54,CT
0.0,"NY; Washington, D.C."
33.33,AK
66.67,OK
30.77,WI
0.0,AZ/MO
66.67,AL
54.55,MS
36.36,WV
46.15,KY
50.0,IA
41.67,SC
80.0,DC
0.0,PR
79.41,IN
62.5,NH
58.06,TN
50.0,MO
100.0,AR
100.0,SD
74.29,VA
100.0,DE
25.0,ND
75.0,LA
60.0,KS
53.85,MN
71.43,OR
0.0,AZ/FL
42.86,VT
0.0,NV
100.0,ID
60.0,RI
25.0,ME
0.0,Several
100.0,IL/AZ
100.0,MT
0.0,Various
100.0,WY
